song,artist,peak_position,weeks_on_chart,date_of_charting
Kamikaze,YoungBoy Never Broke Again,88,1,8/20/2022
Love Me More,Sam Smith,73,10,8/20/2022
I Know,YoungBoy Never Broke Again,46,1,8/20/2022
Cozy,Beyonce,30,2,8/20/2022
Umm Hmm,YoungBoy Never Broke Again,37,1,8/20/2022
Hold Your Own,YoungBoy Never Broke Again,83,1,8/20/2022
Home Ain't Home,YoungBoy Never Broke Again Featuring Rod Wave,47,1,8/20/2022
I'm That Girl,Beyonce,26,2,8/20/2022
Lost Soul Survivor,YoungBoy Never Broke Again,75,1,8/20/2022
Energy,Beyonce Featuring BEAM,27,2,8/20/2022
Free Dem 5's,YoungBoy Never Broke Again,68,1,8/20/2022
Big 14,"Trippie Redd, Moneybagg Yo & Offset",96,1,8/20/2022
Fuck Da Industry,YoungBoy Never Broke Again,63,1,8/20/2022
Top Sound,YoungBoy Never Broke Again,86,1,8/20/2022
My Time,YoungBoy Never Broke Again,90,1,8/20/2022
7 Days,YoungBoy Never Broke Again,100,1,8/20/2022
Ungrateful,Megan Thee Stallion Featuring Key Glock,82,1,8/27/2022
I Know It,Rod Wave,74,1,8/27/2022
Sweetest Pie,Megan Thee Stallion & Dua Lipa,15,21,8/27/2022
Never Get Over Me,Rod Wave,48,1,8/27/2022
Pieces,Rod Wave,86,1,8/27/2022
Take My Name,Parmalee,22,20,8/27/2022
Her,Megan Thee Stallion,62,1,8/27/2022
Plan B,Megan Thee Stallion,29,10,8/27/2022
Time Kills (Love Birds),Rod Wave,95,1,8/27/2022
Rockstar Heart,Rod Wave,90,1,8/27/2022
Pressurelicious,Megan Thee Stallion Featuring Future,55,2,8/27/2022
Church Girl,Beyonce,22,3,8/27/2022
Fading,Rod Wave,96,1,8/27/2022
Damn Strait,Scotty McCreery,32,20,8/27/2022
Forever,Rod Wave,58,1,8/27/2022
No Deal,Rod Wave,71,1,8/27/2022
Budget,Megan Thee Stallion Featuring Latto,87,1,8/27/2022
Get Into It (Yuh),Doja Cat,20,37,8/27/2022
Stone Rolling,Rod Wave,66,1,8/27/2022
Cooped Up,Post Malone Featuring Roddy Ricch,12,15,9/3/2022
Sweet Little Lies,Rod Wave,51,2,9/3/2022
29,Demi Lovato,96,1,9/3/2022
Un Ratito,Bad Bunny,16,16,9/3/2022
At The End Of A Bar,Chris Young With Mitchell Tenpenny,75,6,9/3/2022
Vette Motors,YoungBoy Never Broke Again,62,3,9/3/2022
54321,Offset,88,1,9/3/2022
Super Gremlin,Kodak Black,3,42,9/3/2022
Yungen,Rod Wave Featuring Jack Harlow,35,2,9/3/2022
Big Time,DJ Khaled Featuring Future & Lil Baby,31,1,9/10/2022
La Corriente,Bad Bunny & Tony Dize,32,14,9/10/2022
No Secret,DJ Khaled Featuring Drake,78,1,9/10/2022
Use This Gospel (Remix),DJ Khaled Featuring Kanye West & Eminem,49,1,9/10/2022
Cold Heart (PNAU Remix),Elton John & Dua Lipa,7,52,9/10/2022
Let's Pray,DJ Khaled Featuring Don Toliver & Travis Scott,86,1,9/10/2022
It Ain't Safe,DJ Khaled Featuring Nardo Wick & Kodak Black,77,1,9/10/2022
Alien Superstar,Beyonce,19,5,9/10/2022
Juice WRLD Did,DJ Khaled Featuring Juice WRLD,55,1,9/10/2022
Party,DJ Khaled Featuring Quavo & Takeoff,66,1,9/10/2022
Keep Going,"DJ Khaled Featuring Lil Durk, 21 Savage & Roddy Ricch",57,1,9/10/2022
Shivers,Ed Sheeran,4,52,9/17/2022
Bad Decisions,"benny blanco, BTS & Snoop Dogg",10,5,9/17/2022
Puffin On Zootiez,Future,4,19,9/17/2022
Numb Little Bug,Em Beihold,18,32,9/17/2022
Beautiful,DJ Khaled Featuring Future & SZA,29,2,9/17/2022
Sin Fin,Romeo Santos & Justin Timberlake,100,1,9/17/2022
God Did,"DJ Khaled Featuring Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy",17,3,9/24/2022
Sticky,Drake,6,13,9/24/2022
Alone,Rod Wave,21,5,9/24/2022
Flawless,Yeat Featuring Lil Uzi Vert,77,1,9/24/2022
Purge Me,YoungBoy Never Broke Again,95,1,9/24/2022
Never Sleep,"NAV, Travis Scott & Lil Baby",50,3,9/24/2022
Provenza,Karol G,25,21,9/24/2022
Beat The Odds,Lil Tjay,36,4,10/1/2022
Ghost,Justin Bieber,5,52,10/1/2022
Backstage Passes,EST Gee Featuring Jack Harlow,98,1,10/1/2022
Hot Shit,"Cardi B, Ye & Lil Durk",13,12,10/1/2022
Tarot,Bad Bunny & Jhay Cortez,18,20,10/1/2022
Ojitos Lindos,Bad Bunny & Bomba Estereo,26,20,10/1/2022
Hell Yeah,Little Big Town,91,1,10/1/2022
Party,Bad Bunny & Rauw Alejandro,14,20,10/1/2022
Stay,The Kid LAROI & Justin Bieber,1,63,10/1/2022
Despues de La Playa,Bad Bunny,6,20,10/1/2022
Love In The Way,BLEU & Nicki Minaj,93,1,10/1/2022
Blow,Moneybagg Yo,96,1,10/8/2022
Detox,Lil Baby,25,4,10/8/2022
Mary On A Cross,Ghost,90,2,10/8/2022
So Good,Halsey,51,16,10/8/2022
Pink Venom,BLACKPINK,22,6,10/8/2022
Talk,Yeat,42,5,10/15/2022
Ghost Story,Carrie Underwood,61,20,10/15/2022
Shut Down,BLACKPINK,25,3,10/15/2022
Like I Love Country Music,Kane Brown,26,20,10/15/2022
Bones,Imagine Dragons,47,20,10/15/2022
Efecto,Bad Bunny,34,22,10/15/2022
F.N.F. (Let's Go),Hitkidd & GloRilla,42,20,10/22/2022
Big Energy,Latto,3,51,10/22/2022
Put It On Me,YoungBoy Never Broke Again,63,5,10/22/2022
Truth About You,Mitchell Tenpenny,54,13,10/22/2022
Sleazy Flow,SleazyWorld Go Featuring Lil Baby,47,20,10/22/2022
Neverita,Bad Bunny,31,14,10/22/2022
Walk,Kodak Black,100,1,10/22/2022
Heat Waves,Glass Animals,1,91,10/22/2022
World's Smallest Violin,AJR,91,3,10/22/2022
Moscow Mule,Bad Bunny,4,23,10/22/2022
Last Night Lonely,Jon Pardi,27,20,10/22/2022
Dah Dah DahDah,Nardo Wick,48,11,10/22/2022
Running Up That Hill (A Deal With God),Kate Bush,3,40,10/22/2022
Toxic,YG,81,2,10/22/2022
With A Woman You Love,Justin Moore,59,12,10/22/2022
To The Bone,"Quavo, Takeoff & YoungBoy Never Broke Again",83,1,10/22/2022
Lokera,"Rauw Alejandro, Lyanno & Brray",99,1,10/22/2022
Numb,Marshmello & Khalid,40,16,10/29/2022
Russian Roulette,Lil Baby,70,1,10/29/2022
Everything,Lil Baby,52,1,10/29/2022
In A Minute,Lil Baby,14,28,10/29/2022
Back And Forth,Lil Baby & EST Gee,68,1,10/29/2022
Double Down,Lil Baby,54,1,10/29/2022
Left And Right,Charlie Puth Featuring Jung Kook,22,17,10/29/2022
Bye Bye,Marshmello & Juice WRLD,53,1,10/29/2022
Cost To Be Alive,Lil Baby & Rylo Rodriguez,57,1,10/29/2022
First Class,Jack Harlow,1,28,10/29/2022
Static,Steve Lacy,78,7,10/29/2022
No Fly Zone,Lil Baby,80,1,10/29/2022
Shiest Talk,Lil Baby Featuring Pooh Shiesty,58,1,10/29/2022
Waterfall Flow,Lil Baby,45,1,10/29/2022
Good Love,City Girls & Usher,70,5,10/29/2022
Soul,Lee Brice,83,6,10/29/2022
Top Priority,Lil Baby,64,1,10/29/2022
Break My Soul,Beyonce,1,18,10/29/2022
Stop Playin,Lil Baby Featuring Jeremih,81,1,10/29/2022
Danger,Lil Baby,69,1,10/29/2022
FR,Lil Baby,76,1,10/29/2022
Edging,Blink-182,61,1,10/29/2022
Despecha,Rosalia,63,12,11/5/2022
Poland,Lil Yachty,40,3,11/5/2022
Perfect Timing,Lil Baby,32,2,11/5/2022
She Likes It,Russell Dickerson & Jake Scott,63,30,11/5/2022
Not Finished,Lil Baby,26,2,11/5/2022
Pop Out,Lil Baby & Nardo Wick,15,2,11/5/2022
Glimpse Of Us,Joji,8,20,11/5/2022
From Now On,Lil Baby Featuring Future,42,2,11/5/2022
Dark Red,Steve Lacy,78,5,11/5/2022
Real Spill,Lil Baby,10,3,11/12/2022
The Astronaut,JIN,51,1,11/12/2022
Late Night Talking,Harry Styles,3,24,11/12/2022
Glitch,Taylor Swift,41,2,11/12/2022
Never Hating,Lil Baby & Young Thug,19,3,11/12/2022
Dear Reader,Taylor Swift,45,2,11/12/2022
Ain't Safe,Trippie Redd & Don Toliver,92,1,11/12/2022
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,79,10,11/12/2022
Evergreen,Omar Apollo,51,7,11/12/2022
300 Blackout,Kodak Black,96,1,11/12/2022
Betty (Get Money),Yung Gravy,30,17,11/12/2022
Me Porto Bonito,Bad Bunny & Chencho Corleone,6,26,11/12/2022
Stand On It,Lil Baby,22,3,11/12/2022
2 Be Loved (Am I Ready),Lizzo,55,13,11/19/2022
5 Foot 9,Tyler Hubbard,22,22,11/19/2022
In My Head,Juice WRLD,23,2,11/19/2022
Paris,Taylor Swift,32,3,11/19/2022
High Infidelity,Taylor Swift,33,3,11/19/2022
My Mind & Me,Selena Gomez,83,1,11/19/2022
Staying Alive,DJ Khaled Featuring Drake & Lil Baby,5,14,11/19/2022
3AM On Glenwood,21 Savage,27,2,11/26/2022
Last Last,Burna Boy,44,19,11/26/2022
The Great War,Taylor Swift,26,4,11/26/2022
Music For A Sushi Restaurant,Harry Styles,8,18,11/26/2022
Bigger Than The Whole Sky,Taylor Swift,21,4,11/26/2022
Gotta Move On,Diddy & Bryson Tiller,79,7,11/26/2022
Wishful Drinking,Ingrid Andress With Sam Hunt,47,20,11/26/2022
I Guess It's Fuck Me,Drake,19,2,11/26/2022
"Would've, Could've, Should've",Taylor Swift,20,4,11/26/2022
More Mâ€™s,Drake & 21 Savage,18,3,12/3/2022
Labyrinth,Taylor Swift,14,5,12/3/2022
Got It Right,Rod Wave,95,1,12/3/2022
Middle Of The Ocean,Drake,15,3,12/3/2022
Die For You,Joji,53,3,12/3/2022
Mastermind,Taylor Swift,13,5,12/3/2022
Question...?,Taylor Swift,7,5,12/3/2022
Down In Atlanta,Pharrell Williams & Travis Scott,88,1,12/3/2022
Break My Heart,Rod Wave,76,2,12/3/2022
Sweet Nothing,Taylor Swift,15,5,12/3/2022
Treacherous Twins,Drake & 21 Savage,14,3,12/3/2022
Jumbotron Shit Poppin,Drake,16,4,12/10/2022
BackOutsideBoyz,Drake,9,4,12/10/2022
Broke Boys,Drake & 21 Savage,12,4,12/10/2022
"You're On Your Own, Kid",Taylor Swift,8,6,12/10/2022
Vigilante Shit,Taylor Swift,10,6,12/10/2022
Hours In Silence,Drake & 21 Savage,11,4,12/10/2022
Titi Me Pregunto,Bad Bunny,5,30,12/10/2022
Privileged Rappers,Drake & 21 Savage,7,4,12/10/2022
Feel The Fiyaaaah,Metro Boomin & A$AP Rocky Featuring Takeoff,59,1,12/17/2022
Don't Come Lookin',Jackson Dean,50,15,12/17/2022
All The Money (Bonus),Metro Boomin & Gunna,66,1,12/17/2022
I Can't Save You (Interlude),Metro Boomin & Future Featuring Don Toliver,55,1,12/17/2022
Free Mind,Tems,46,21,12/17/2022
Lock On Me,"Metro Boomin, Travis Scott & Future",72,1,12/17/2022
Wild Flower,RM With Youjeen,83,1,12/17/2022
Walk Em Down (Don't Kill Civilians),Metro Boomin & 21 Savage Featuring Mustafa,52,1,12/17/2022
Maroon,Taylor Swift,3,7,12/17/2022
Country On,Luke Bryan,72,17,12/24/2022
Too Late,SZA,62,1,12/24/2022
Metro Spider,Metro Boomin & Young Thug,43,2,12/24/2022
Umbrella,"Metro Boomin, 21 Savage & Young Nudy",23,2,12/24/2022
Forgiveless,SZA Featuring Ol' Dirty Bastard,76,1,12/24/2022
Water (Drowning Pt. 2),A Boogie Wit da Hoodie Featuring Kodak Black,97,1,12/24/2022
On Time,Metro Boomin & John Legend,48,2,12/24/2022
Around Me,Metro Boomin Featuring Don Toliver,53,2,12/24/2022
Raindrops (Insane),Metro Boomin & Travis Scott,31,2,12/24/2022
Conceited,SZA,58,2,12/31/2022
Far,SZA,61,2,12/31/2022
Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio,37,2,12/31/2022
F2F,SZA,55,2,12/31/2022
Smoking On My Ex Pack,SZA,52,2,12/31/2022
Face 2 Face,Juice WRLD,92,1,12/31/2022
All Mine,Brent Faiyaz,42,20,12/31/2022
Someday At Christmas,Lizzo,59,5,1/7/2023
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,22,13,1/7/2023
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,8,25,1/7/2023
Kid On Christmas,Pentatonix Featuring Meghan Trainor,93,2,1/7/2023
Rudolph The Red-Nosed Reindeer,Gene Autry,16,22,1/7/2023
White Christmas,Bing Crosby,12,30,1/7/2023
Blue Christmas,Kane Brown,73,4,1/7/2023
Last Christmas,Lauren Spencer-Smith,72,5,1/7/2023
"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,76,4,1/7/2023
Jimmy Cooks,Drake Featuring 21 Savage,1,25,1/14/2023
Wasted On You,Morgan Wallen,9,57,1/14/2023
Billie Eilish.,Armani White,58,14,1/14/2023
Major Distribution,Drake & 21 Savage,3,7,1/14/2023
Midnight Rain,Taylor Swift,5,8,1/14/2023
Notice Me,SZA,44,3,1/14/2023
SOS,SZA,32,5,1/21/2023
Gone Girl,SZA,43,5,1/21/2023
Hotel Lobby (Unc And Phew),Quavo & Takeoff,55,22,1/21/2023
On BS,Drake & 21 Savage,4,8,1/21/2023
Son Of A Sinner,Jelly Roll,31,28,1/21/2023
Bejeweled,Taylor Swift,6,9,1/21/2023
Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,6,7,1/21/2023
Fall In Love,Bailey Zimmerman,29,34,1/21/2023
Hold Me Closer,Elton John & Britney Spears,6,20,1/21/2023
Black,YoungBoy Never Broke Again,93,1,1/21/2023
Heyy,Lil Baby,21,12,1/28/2023
Out In The Middle,Zac Brown Band,86,6,1/28/2023
King Snipe,Gucci Mane & Kodak Black,100,1,1/28/2023
On Wat U On,Moneybagg Yo x GloRilla,56,1,1/28/2023
Victoria's Secret,Jax,35,25,1/28/2023
Monotonia,Shakira + Ozuna,65,3,1/28/2023
Pick Me Up,Gabby Barrett,55,22,1/28/2023
Down Home,Jimmie Allen,61,9,1/28/2023
Vibe,TAEYANG Featuring Jimin,76,1,1/28/2023
Romantic Homicide,d4vd,33,20,1/28/2023
Used,SZA Featuring Don Toliver,30,6,1/28/2023
Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage",27,6,1/28/2023
Special,SZA,37,6,1/28/2023
Seek & Destroy,SZA,24,7,2/4/2023
Red,HARDY Featuring Morgan Wallen,64,1,2/4/2023
Krzy Train,Trippie Redd & Travis Scott,90,1,2/4/2023
Moonlight Sunrise,TWICE,84,1,2/4/2023
Gangsta Boo,Ice Spice & Lil Tjay,82,1,2/4/2023
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,32,18,2/4/2023
Spit In My Face!,ThxSoMch,100,1,2/4/2023
Half Of Me,Thomas Rhett Featuring Riley Green,52,20,2/4/2023
Fully Loaded,"Trippie Redd, Future & Lil Baby",86,1,2/4/2023
Miss You,Oliver Tree & Robin Schulz,84,9,2/4/2023
Vegas,Doja Cat,10,30,2/4/2023
Sunroof,Nicky Youre & dazy,4,32,2/11/2023
I Wish You Roses,Kali Uchis,81,2,2/11/2023
I Ain't Worried,OneRepublic,6,30,2/11/2023
Super Freaky Girl,Nicki Minaj,1,25,2/11/2023
The Black Seminole.,Lil Yachty,80,1,2/11/2023
Circo Loco,Drake & 21 Savage,8,13,2/11/2023
Knight Crawler,Trippie Redd & Juice WRLD,52,2,2/11/2023
Ditto,NewJeans,82,5,2/18/2023
Open Arms,SZA Featuring Travis Scott,54,7,2/18/2023
Whiskey On You,Nate Smith,43,34,2/18/2023
La Bachata,Manuel Turizo,67,21,2/18/2023
Never Gonna Not Dance Again,P!nk,99,2,2/18/2023
Watch The World Burn,Falling In Reverse,83,1,2/18/2023
I'm Not Here To Make Friends,Sam Smith,71,2,2/18/2023
Snap,Rosa Linn,67,15,2/18/2023
Heart To Heart,Mac DeMarco,83,4,2/18/2023
Fin de Semana,Junior H X Oscar Maydon,86,2,2/18/2023
Gato de Noche,Nengo Flow & Bad Bunny,60,8,2/25/2023
We Found Love,Rihanna Featuring Calvin Harris,1,42,2/25/2023
Diamonds,Rihanna,1,27,2/25/2023
Die For You,The Weeknd,6,29,2/25/2023
Forget Me,Lewis Capaldi,58,14,2/25/2023
Umbrella,Rihanna Featuring Jay-Z,1,34,2/25/2023
Ghost In The Machine,SZA Featuring Phoebe Bridgers,40,9,2/25/2023
Love Language,SZA,21,10,2/25/2023
California Breeze,Lil Baby,4,14,2/25/2023
Fix'n To Break,Bailey Zimmerman,84,1,2/25/2023
OMG,NewJeans,74,6,3/4/2023
Lottery,Latto Featuring LU KALA,83,1,3/4/2023
Shut Up My Moms Calling,Hotel Ugly,68,8,3/4/2023
Blind,SZA,12,11,3/4/2023
Love You Better,Future,12,15,3/4/2023
Back End,Finesse2Tymes,86,5,3/4/2023
La Jumpa,Arcangel & Bad Bunny,68,10,3/4/2023
Do It Again,NLE Choppa & 2Rare,85,5,3/4/2023
Lost,Linkin Park,38,2,3/4/2023
What My World Spins Around,Jordan Davis,40,28,3/4/2023
Hey Mor,Ozuna Featuring Feid,85,4,3/4/2023
Tomorrow 2,GloRilla & Cardi B,9,22,3/4/2023
No Se Va,Grupo Frontera,57,20,3/4/2023
No Time Wasted,Polo G & Future,69,1,3/4/2023
Joe,Luke Combs,89,1,3/11/2023
She Had Me At Heads Carolina,Cole Swindell,16,36,3/11/2023
That's What Tequila Does,Jason Aldean,77,8,3/11/2023
Dirt,Key Glock,88,1,3/11/2023
Gucci Los Panos,Karol G,71,1,3/11/2023
The Kind Of Love We Make,Luke Combs,8,32,3/11/2023
Split,Yeat,79,1,3/11/2023
Hope,NF,49,2,3/11/2023
No More Talk,Yeat,77,1,3/11/2023
The Color Violet,Tory Lanez,63,9,3/11/2023
Pero Tu,Karol G & Quevedo,86,1,3/11/2023
Mientras Me Curo del Cora,Karol G,68,1,3/11/2023
Bad Habit,Steve Lacy,1,35,3/11/2023
Shmunk,Yeat Featuring YoungBoy Never Broke Again,83,1,3/11/2023
Wait For U,Future Featuring Drake & Tems,1,41,3/11/2023
Besties,Karol G,96,1,3/11/2023
Kant Nobody,Lil Wayne Featuring DMX,66,1,3/11/2023
Ojos Ferrari,"Karol G, Justin Quiles & Angel Dior",95,1,3/11/2023
Unstoppable,Sia,28,29,3/11/2023
Die 4 Me,Halsey,100,1,3/11/2023
Tus Gafitas,Karol G,73,1,3/11/2023
Manana Sera Bonito,Karol G & Carla Morrison,98,1,3/11/2023
About Damn Time,Lizzo,1,42,3/11/2023
Gatubela,Karol G x Maldy,37,11,3/11/2023
Cairo,Karol G & Ovy On The Drums,82,1,3/11/2023
I Like You (A Happier Song),Post Malone Featuring Doja Cat,3,36,3/11/2023
Days That End In Why,Morgan Wallen,57,2,3/18/2023
Good Girl Gone Missin',Morgan Wallen,69,1,3/18/2023
Me To Me,Morgan Wallen,71,1,3/18/2023
Last Drive Down Main,Morgan Wallen,65,1,3/18/2023
Had It,Morgan Wallen,75,1,3/18/2023
Outlook,Morgan Wallen,76,1,3/18/2023
Don't Think Jesus,Morgan Wallen,7,6,3/18/2023
Money On Me,Morgan Wallen,72,1,3/18/2023
On The Street,j-hope With J. Cole,60,1,3/18/2023
I Deserve A Drink,Morgan Wallen,52,2,3/25/2023
Hope That's True,Morgan Wallen,41,2,3/25/2023
Made You Look,Meghan Trainor,11,21,3/25/2023
Single Than She Was,Morgan Wallen,56,2,3/25/2023
Thousand Miles,Miley Cyrus Featuring Brandi Carlile,68,1,3/25/2023
Keith Whitley,Morgan Wallen,44,2,3/25/2023
180 (Lifestyle),Morgan Wallen,63,2,3/25/2023
Wine Into Water,Morgan Wallen,59,2,3/25/2023
X Si Volvemos,Karol G x Romeo Santos,48,6,3/25/2023
Tennessee Fan,Morgan Wallen,49,7,3/25/2023
Lift Me Up,Rihanna,2,20,3/25/2023
In The Bible,Morgan Wallen Featuring HARDY,47,2,3/25/2023
Tennessee Numbers,Morgan Wallen,38,2,3/25/2023
Rose Colored Lenses,Miley Cyrus,91,1,3/25/2023
F150-50,Morgan Wallen,53,2,3/25/2023
Born With A Beer In My Hand,Morgan Wallen,32,3,4/1/2023
Me + All Your Reasons,Morgan Wallen,51,3,4/1/2023
Devil Don't Know,Morgan Wallen,29,3,4/1/2023
10:35,Tiesto Featuring Tate McRae,69,9,4/1/2023
Freestyle,Lil Baby,59,25,4/1/2023
Neon Star (Country Boy Lullaby),Morgan Wallen,48,3,4/1/2023
"Set Me Free, Pt. 2",Jimin,30,1,4/1/2023
Here With Me,d4vd,60,10,4/1/2023
Whiskey Friends,Morgan Wallen,35,4,4/8/2023
Eat Your Young,Hozier,67,2,4/8/2023
Watch This (ARIZONATEARS Pluggnb Remix),Lil Uzi Vert,56,6,4/8/2023
The Light,Juice WRLD,86,1,4/8/2023
Dying Man,Morgan Wallen,43,4,4/8/2023
Low,SZA,17,16,4/8/2023
Coco Chanel,Eladio Carrion & Bad Bunny,87,2,4/8/2023
Void,Melanie Martinez,61,1,4/15/2023
River,Miley Cyrus,32,4,4/15/2023
Growin' Up And Gettin' Old,Luke Combs,54,5,4/15/2023
Nobody Gets Me,SZA,10,17,4/15/2023
Death,Melanie Martinez,95,2,4/15/2023
Shirt,SZA,11,23,4/15/2023
Hot Boy,Nardo Wick Featuring Lil Baby,99,1,4/15/2023
WHARF TALK,"Tyler, The Creator Featuring A$AP Rocky",89,1,4/15/2023
Until I Found You,Stephen Sanchez,23,41,4/22/2023
Sorry Not Sorry,"Tyler, The Creator",48,2,4/22/2023
WTF,YoungBoy Never Broke Again Featuring Nicki Minaj,99,1,4/22/2023
"Going, Going, Gone",Luke Combs,23,22,4/22/2023
I Know,Kanii,90,2,4/22/2023
What He Didn't Do,Carly Pearce,37,17,4/22/2023
Golden Hour,JVKE,10,33,4/22/2023
Cuff It,Beyonce,6,35,4/22/2023
Careful,NF & Cordae,85,1,4/22/2023
Nasty,Russ,75,3,4/22/2023
Heaven,Niall Horan,62,7,4/29/2023
Love Again,The Kid LAROI,40,12,4/29/2023
Don't Play With It,Lola Brooke X Latto X Yung Miami Or Featuring Billy B,69,4,4/29/2023
Dogtooth,"Tyler, The Creator",33,4,4/29/2023
Heart Like A Truck,Lainey Wilson,29,23,4/29/2023
'98 Braves,Morgan Wallen,27,7,4/29/2023
Special,Lizzo Featuring SZA,52,10,4/29/2023
Alone,Kim Petras Featuring Nicki Minaj,55,1,5/6/2023
All Of The Girls You Loved Before,Taylor Swift,12,6,5/6/2023
Wait In The Truck,HARDY Featuring Lainey Wilson,23,34,5/6/2023
You Didn't,Brett Young,63,12,5/6/2023
Haegeum,Agust D,58,1,5/6/2023
Big Truck,YoungBoy Never Broke Again,100,1,5/6/2023
Like Crazy,Jimin,1,5,5/6/2023
Gold,Dierks Bentley,68,9,5/13/2023
Di Que Si,Grupo Marca Registrada X Grupo Frontera,89,3,5/13/2023
Bloody Mary,Lady Gaga,41,18,5/13/2023
Strike (Holster),Lil Yachty,71,4,5/13/2023
They Don't Love It,Jack Harlow,54,1,5/13/2023
Common Ground,Jack Harlow,96,1,5/13/2023
5 Leaf Clover,Luke Combs,33,7,5/13/2023
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,9,15,5/13/2023
Que Vuelvas,Carin Leon X Grupo Frontera,50,20,5/20/2023
Lavender Haze,Taylor Swift,2,29,5/20/2023
Never Felt So Alone,Labrinth,62,5,5/20/2023
Escapism,RAYE Featuring 070 Shake,22,23,5/20/2023
Mejor Que Yo,"Anuel AA, Mambo Kingz & DJ Luian",83,1,5/20/2023
Curtains,Ed Sheeran,97,1,5/20/2023
Bebe Dame,Fuerza Regida X Grupo Frontera,25,20,5/20/2023
Peaches,Jack Black,56,5,5/20/2023
Bitch Let's Do It,YoungBoy Never Broke Again,62,1,5/27/2023
Karma,Taylor Swift,9,10,5/27/2023
Happy,NF,54,6,5/27/2023
Handle On You,Parker McCollum,30,20,5/27/2023
Ceilings,Lizzy McAlpine,54,13,5/27/2023
Everything She Ain't,Hailey Whitters,94,1,5/27/2023
F**k The Industry Pt. 2,YoungBoy Never Broke Again,87,1,5/27/2023
Rich Flex,Drake & 21 Savage,2,28,5/27/2023
Sunrise,Morgan Wallen,30,11,5/27/2023
I Heard,YoungBoy Never Broke Again,98,1,5/27/2023
Wild As Her,Corey Kent,40,32,5/27/2023
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",8,24,5/27/2023
Acrostico,Shakira,84,1,5/27/2023
Just Wanna Rock,Lil Uzi Vert,10,32,6/3/2023
Go Hard,Lil Baby,59,3,6/3/2023
Private Landing,Don Toliver Featuring Justin Bieber & Future,72,7,6/3/2023
Red Ruby Da Sleeze,Nicki Minaj,13,12,6/3/2023
Unholy,Sam Smith & Kim Petras,1,35,6/3/2023
Wreckage,Nate Smith,69,3,6/3/2023
In Ha Mood,Ice Spice,58,16,6/3/2023
Life Goes On,Ed Sheeran Featuring Luke Combs,66,2,6/3/2023
You,Dan + Shay,87,1,6/3/2023
Igualito A Mi Apa,Fuerza Regida & Peso Pluma,80,6,6/3/2023
Spin Bout U,Drake & 21 Savage,5,29,6/3/2023
Nonsense,Sabrina Carpenter,56,19,6/3/2023
Ch y La Pizza,Fuerza Regida X Natanael Cano,68,9,6/3/2023
"To Summer, From Cole (Audio Hug)",Summer Walker & J. Cole,63,1,6/3/2023
Double Fantasy,The Weeknd Featuring Future,18,5,6/3/2023
Forever,Lil Baby Featuring Fridayy,8,20,6/3/2023
Painting Pictures,Superstar Pride,25,15,6/3/2023
You Got Em,Lil Durk,86,1,6/10/2023
Big Dawg,Lil Durk & Chief Wuk,67,1,6/10/2023
Put Em On Ice,Lil Durk,72,1,6/10/2023
300 Urus,Lil Durk,73,1,6/10/2023
Grandson,Lil Durk Featuring Kodak Black,76,1,6/10/2023
Never Again,Lil Durk,62,1,6/10/2023
Cross The Globe,Lil Durk Featuring Juice WRLD,68,1,6/10/2023
B12,Lil Durk,83,1,6/10/2023
Before Fajr,Lil Durk,82,1,6/10/2023
Sad Songs,Lil Durk,74,1,6/10/2023
As It Was,Harry Styles,1,61,6/10/2023
Never Imagined,Lil Durk Featuring Future,59,1,6/10/2023
Mathematical Disrespect,Lil Mabu,47,4,6/10/2023
Pelle Coat,Lil Durk,35,2,6/17/2023
War Bout It,Lil Durk Featuring 21 Savage,41,2,6/17/2023
Snow On The Beach,Taylor Swift Featuring Lana Del Rey,4,8,6/17/2023
Keep It Low,Moneybagg Yo Featuring Future,59,1,6/17/2023
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",37,20,6/17/2023
Human,Cody Johnson,61,19,6/17/2023
Say Yes To Heaven,Lana Del Rey,54,3,6/17/2023
Danger (Spider),Offset & JID,95,1,6/17/2023
Beso,Rosalia & Rauw Alejandro,52,12,6/24/2023
El Gordo Trae El Mando,Chino Pacas,58,13,6/24/2023
America Has A Problem,Beyonce Featuring Kendrick Lamar,38,5,6/24/2023
Hummingbird,Metro Boomin & James Blake,90,2,6/24/2023
Yandel 150,Yandel & Feid,71,17,6/24/2023
I Wrote The Book,Morgan Wallen,18,19,6/24/2023
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,22,13,6/24/2023
Low Down,Lil Baby,50,13,6/24/2023
Hits Different,Taylor Swift,27,3,6/24/2023
Trance,"Metro Boomin, Travis Scott & Young Thug",42,19,6/24/2023
